# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9240538481076974,4.939093920741033,179.92261130451487,0,-3.0,0.2157609585065682,0.0,0.0,0.0
 0.08977793964911786,1.9361439547508157,4.939077590774702,179.92261130451487,-0.2693338189473536,-3.0,0.2157609585065682,0.0,-3.9984095141030473,0.0
 0.12743513644715776,1.9484133109727584,4.9390287755277535,179.77204241056313,-0.3823054093414732,-2.9999999999999982,0.20487234473779725,0.0,-4.966197628505225,0.0
 0.15664608739410316,1.9608604712124051,4.938947736978259,179.62697505524406,-0.46993826218230944,-3.000000000000001,0.19470611701847895,0.0,-5.619415929810229,0.0
 0.18153240205007587,1.9734839899086367,4.938834737104286,179.487128502232,-0.5445972061502276,-2.9999999999999987,0.1852030091246188,0.0,-6.089517389139809,0.0
 0.20368320016178856,1.9862824215003336,4.938690037883906,179.35224083194743,-0.6110496004853657,-3.0000000000000036,0.1763094891837887,0.0,-6.43577048169088,0.0
 0.22390974927798107,1.9992543204263762,4.938513901295186,179.22206740419892,-0.6717292478339432,-2.999999999999996,0.16797712409121615,0.0,-6.691939845606819,0.0
 0.24269173758805626,2.012398241125645,4.938306589316199,179.096379468247,-0.7280752127641688,-3.0000000000000013,0.16016202302025168,0.0,-6.8797160192814,0.0
 0.26034022248721,2.0257127380370203,4.938068363925011,178.97496290397027,-0.7810206674616299,-2.999999999999995,0.15282434913739806,0.0,-7.014099380712333,0.0
 0.2770702140823034,2.0391963655993828,4.937799487099693,178.85761708028377,-0.8312106422469102,-3.000000000000003,0.14592788986200214,0.0,-7.105991485157186,0.0
 0.29303748092183085,2.052847678251613,4.937500220818314,178.74415381808086,-0.8791124427654924,-2.999999999999993,0.13943967879396812,0.0,-7.163600699214968,0.0
 0.3083590176353928,2.066665230432591,4.937170827058944,178.63439644696658,-0.9250770529061784,-3.000000000000007,0.13332966155695244,0.0,-7.1932725269066315,0.0
 0.32312524546585525,2.0806475765811974,4.936811567799654,178.52817894598763,-0.9693757363975657,-3.0,0.1275704002789452,0.0,-7.200012534192618,0.0
 0.3374076909005279,2.094793271136313,4.93642270501851,178.42534515983908,-1.0122230727015835,-2.9999999999999885,0.12213681213997196,0.0,-7.187832509288495,0.0
 0.3512640344730649,2.1091008685368178,4.936004500693584,178.32574808304852,-1.0537921034191946,-3.000000000000004,0.11700593669456448,0.0,-7.159988938391072,0.0
 0.36474155220489823,2.1235689232215926,4.935557216802945,178.22924920517167,-1.0942246566146945,-2.999999999999996,0.11215672974859582,0.0,-7.119152679389978,0.0
 0.37787953337044444,2.138195989629517,4.935081115324661,178.1357179113552,-1.1336386001113332,-3.0000000000000084,0.10756987915783349,0.0,-7.067532996578982,0.0
 0.3907110233313233,2.1529806221994727,4.934576458236805,178.04503093266138,-1.1721330699939698,-3.0000000000000044,0.10322764096745243,0.0,-7.006970274678825,0.0
 0.40326410800262086,2.167921375370339,4.934043507517442,177.95707184151405,-1.2097923240078625,-3.0,0.09911369257965318,0.0,-6.939006649677719,0.0
 0.4155628789527198,2.1830168035809976,4.933482525144645,177.87173058810848,-1.2466886368581593,-2.9999999999999956,0.09521300200543736,0.0,-6.86494071846431,0.0
 0.4276281709512223,2.198265461270328,4.932893773096483,177.78890307378782,-1.2828845128536668,-3.0,0.09151171004243776,0.0,-6.785870490248212,0.0
 0.43947813415459425,2.2136659028772105,4.932277513351023,177.7084907581755,-1.3184344024637826,-3.0,0.08799702479337915,0.0,-6.702727531736693,0.0
 0.45112868399900924,2.2292166828405264,4.931634007886338,177.63040029697348,-1.3533860519970276,-2.999999999999995,0.08465712741130813,0.0,-6.616304411745892,0.0
 0.4625938592239339,2.244916355599156,4.930963518680495,177.55454320755135,-1.3877815776718017,-3.000000000000005,0.08148108593206957,0.0,-6.527276941855139,0.0
 0.47388610990140334,2.2607634755919794,4.930266307711564,177.48083556008265,-1.4216583297042098,-2.9999999999999902,0.07845877930334558,0.0,-6.4362223757215,0.0
 0.4850165314527215,2.2767565972578767,4.929542636957615,177.40919769184288,-1.4550495943581643,-3.0,0.075580827593455,0.0,-6.343634398748363,0.0
 0.49599505649910397,2.292894275035729,4.9287927683967165,177.33955394271112,-1.4879851694973119,-3.000000000000015,0.07283852930399347,0.0,-6.249935552945144,0.0
 0.506830613444084,2.309175063364416,4.92801696400694,177.27183241012474,-1.5204918403322518,-2.9999999999999947,0.07022380484029911,0.0,-6.155487609959817,0.0
 0.5175312585518735,2.3255975166828193,4.927215485766353,177.20596472174515,-1.5525937756556205,-3.0,0.06772914509636428,0.0,-6.060600259432118,0.0
 0.5281042867211013,2.3421601894298187,4.926388595653025,177.14188582447977,-1.584312860163304,-3.000000000000021,0.06534756486873333,0.0,-5.965538437699747,0.0
 0.538556324991555,2.3588616360442947,4.925536555645026,177.07953378842504,-1.6156689749746653,-3.0000000000000107,0.06307256103137944,0.0,-5.870528528634058,0.0
 0.5488934119490618,2.3757004109651274,4.924659627720427,177.01884962453803,-1.6466802358471857,-3.0,0.060898073380647476,0.0,-5.775763630519734,0.0
 0.5591210655314798,2.392675068631198,4.923758073857296,176.95977711495115,-1.6773631965944398,-3.0000000000000218,0.05881845010009719,0.0,-5.681408047280505,0.0
 0.5692443412312913,2.4097841634813864,4.922832156033701,176.90226265492538,-1.7077330236938744,-3.0,0.0568284159726202,0.0,-5.587601132750501,0.0
